entity_type,entity_id,forecast_month,forecast_oil_bbl,forecast_gas_mcf,model_type,r2_score,qi,di,b_factor
well,33-053-05817-0000,2024-01-01,462.80088144427805,3080.9154777554622,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-02-01,456.7541765077347,3050.061655510334,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-03-01,450.8404474896126,3019.819677046256,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-04-01,445.055604393989,2990.171521380251,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-05-01,439.39571823816163,2961.0998683583907,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-06-01,433.85701335202134,2932.5880649151195,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-07-01,428.4358601097136,2904.620093263285,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-08-01,423.1287680657912,2877.180540887192,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-09-01,417.9323794700711,2850.254572220571,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-10-01,412.8434631372571,2823.8279019001025,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-11-01,407.85890864909214,2797.886769493185,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
well,33-053-05817-0000,2024-12-01,402.9757208683748,2772.4179156060013,hyperbolic,0.9880697534763336,2210.0510455095214,0.039381327391771664,0.6985433487124121
